id,date,time,name,size,type,price
2015-000001,2015-01-01,11:38:36,hawaiian,M,classic,13.25
2015-000002,2015-01-01,11:57:40,classic_dlx,M,classic,16
2015-000002,2015-01-01,11:57:40,mexicana,M,veggie,16
2015-000002,2015-01-01,11:57:40,thai_ckn,L,chicken,20.75
2015-000002,2015-01-01,11:57:40,five_cheese,L,veggie,18.5
2015-000002,2015-01-01,11:57:40,ital_supr,L,supreme,20.75
2015-000003,2015-01-01,12:12:28,prsc_argla,L,supreme,20.75
2015-000003,2015-01-01,12:12:28,ital_supr,M,supreme,16.5
2015-000004,2015-01-01,12:16:31,ital_supr,M,supreme,16.5
2015-000005,2015-01-01,12:21:30,ital_supr,M,supreme,16.5
2015-000006,2015-01-01,12:29:36,bbq_ckn,S,chicken,12.75
2015-000006,2015-01-01,12:29:36,the_greek,S,classic,12
2015-000007,2015-01-01,12:50:37,spinach_supr,S,supreme,12.5
2015-000008,2015-01-01,12:51:37,spinach_supr,S,supreme,12.5
2015-000009,2015-01-01,12:52:01,ital_supr,L,supreme,20.75
2015-000009,2015-01-01,12:52:01,mexicana,S,veggie,12
2015-000009,2015-01-01,12:52:01,spin_pesto,L,veggie,20.75
2015-000009,2015-01-01,12:52:01,spicy_ital,L,supreme,20.75
2015-000009,2015-01-01,12:52:01,ital_cpcllo,L,classic,20.5
2015-000009,2015-01-01,12:52:01,veggie_veg,S,veggie,12
2015-000009,2015-01-01,12:52:01,green_garden,S,veggie,12
2015-000009,2015-01-01,12:52:01,classic_dlx,S,classic,12
2015-000009,2015-01-01,12:52:01,ital_supr,S,supreme,12.5
2015-000010,2015-01-01,13:00:15,mexicana,L,veggie,20.25
2015-000010,2015-01-01,13:00:15,southw_ckn,L,chicken,20.75
2015-000011,2015-01-01,13:02:59,pepperoni,L,classic,15.25
2015-000011,2015-01-01,13:02:59,cali_ckn,L,chicken,20.75
2015-000011,2015-01-01,13:02:59,cali_ckn,M,chicken,16.75
2015-000011,2015-01-01,13:02:59,bbq_ckn,L,chicken,20.75
2015-000012,2015-01-01,13:04:41,cali_ckn,S,chicken,12.75
2015-000012,2015-01-01,13:04:41,ital_supr,M,supreme,16.5
2015-000012,2015-01-01,13:04:41,cali_ckn,L,chicken,20.75
2015-000012,2015-01-01,13:04:41,ckn_pesto,L,chicken,20.75
2015-000013,2015-01-01,13:11:55,mexicana,L,veggie,20.25
2015-000014,2015-01-01,13:14:19,the_greek,S,classic,12
2015-000015,2015-01-01,13:33:00,big_meat,S,classic,12
2015-000015,2015-01-01,13:33:00,five_cheese,L,veggie,18.5
2015-000015,2015-01-01,13:33:00,soppressata,L,supreme,20.75
2015-000015,2015-01-01,13:33:00,the_greek,S,classic,12
2015-000016,2015-01-01,13:34:07,thai_ckn,L,chicken,20.75
2015-000016,2015-01-01,13:34:07,four_cheese,L,veggie,17.95
2015-000016,2015-01-01,13:34:07,napolitana,S,classic,12
2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16
2015-000017,2015-01-01,13:53:00,bbq_ckn,L,chicken,20.75
2015-000017,2015-01-01,13:53:00,ital_supr,M,supreme,16.5
2015-000017,2015-01-01,13:53:00,mexicana,L,veggie,20.25
2015-000017,2015-01-01,13:53:00,four_cheese,M,veggie,14.75
2015-000017,2015-01-01,13:53:00,spinach_fet,L,veggie,20.25
2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16
2015-000017,2015-01-01,13:53:00,five_cheese,L,veggie,18.5
2015-000017,2015-01-01,13:53:00,ital_veggie,S,veggie,12.75
2015-000017,2015-01-01,13:53:00,calabrese,M,supreme,16.25
2015-000017,2015-01-01,13:53:00,peppr_salami,S,supreme,12.5
2015-000018,2015-01-01,13:57:08,napolitana,L,classic,20.5
2015-000019,2015-01-01,13:59:09,sicilian,L,supreme,20.25
2015-000019,2015-01-01,13:59:09,ital_cpcllo,L,classic,20.5
2015-000020,2015-01-01,14:03:08,five_cheese,L,veggie,18.5
2015-000020,2015-01-01,14:03:08,big_meat,S,classic,12
2015-000021,2015-01-01,14:14:29,ital_cpcllo,L,classic,20.5
2015-000022,2015-01-01,14:16:26,ital_cpcllo,M,classic,16
2015-000022,2015-01-01,14:16:26,southw_ckn,L,chicken,20.75
2015-000022,2015-01-01,14:16:26,five_cheese,L,veggie,18.5
2015-000023,2015-01-01,14:19:03,southw_ckn,S,chicken,12.75
2015-000024,2015-01-01,14:23:01,ital_cpcllo,M,classic,16
2015-000024,2015-01-01,14:23:01,pepperoni,M,classic,12.5
2015-000024,2015-01-01,14:23:01,prsc_argla,S,supreme,12.5
2015-000024,2015-01-01,14:23:01,bbq_ckn,M,chicken,16.75
2015-000025,2015-01-01,14:44:44,thai_ckn,L,chicken,20.75
2015-000025,2015-01-01,14:44:44,sicilian,M,supreme,16.25
2015-000026,2015-01-01,14:54:26,classic_dlx,S,classic,12
2015-000026,2015-01-01,14:54:26,veggie_veg,L,veggie,20.25
2015-000027,2015-01-01,15:11:17,bbq_ckn,L,chicken,20.75
2015-000027,2015-01-01,15:11:17,spinach_fet,L,veggie,20.25
2015-000027,2015-01-01,15:11:17,classic_dlx,M,classic,16
2015-000028,2015-01-01,15:35:46,ckn_alfredo,S,chicken,12.75
2015-000029,2015-01-01,15:41:01,green_garden,S,veggie,12
2015-000030,2015-01-01,15:41:25,thai_ckn,L,chicken,20.75
2015-000031,2015-01-01,15:50:18,mexicana,M,veggie,16
2015-000031,2015-01-01,15:50:18,pepperoni,S,classic,9.75
2015-000032,2015-01-01,15:53:18,ital_cpcllo,L,classic,20.5
2015-000032,2015-01-01,15:53:18,green_garden,L,veggie,20.25
2015-000032,2015-01-01,15:53:18,big_meat,S,classic,12
2015-000032,2015-01-01,15:53:18,ital_supr,M,supreme,16.5
2015-000033,2015-01-01,15:54:08,bbq_ckn,L,chicken,20.75
2015-000033,2015-01-01,15:54:08,green_garden,S,veggie,12
2015-000034,2015-01-01,16:21:21,the_greek,S,classic,12
2015-000035,2015-01-01,16:32:04,pepperoni,M,classic,12.5
2015-000035,2015-01-01,16:32:04,pep_msh_pep,L,classic,17.5
2015-000035,2015-01-01,16:32:04,thai_ckn,L,chicken,20.75
2015-000035,2015-01-01,16:32:04,green_garden,M,veggie,16
2015-000036,2015-01-01,16:54:09,bbq_ckn,M,chicken,16.75
2015-000036,2015-01-01,16:54:09,classic_dlx,M,classic,16
2015-000037,2015-01-01,16:56:09,mexicana,L,veggie,20.25
2015-000037,2015-01-01,16:56:09,ital_supr,L,supreme,20.75
2015-000038,2015-01-01,17:03:00,ital_cpcllo,L,classic,20.5
2015-000038,2015-01-01,17:03:00,hawaiian,S,classic,10.5
2015-000039,2015-01-01,17:07:23,ital_supr,L,supreme,20.75
2015-000040,2015-01-01,17:14:36,southw_ckn,S,chicken,12.75
2015-000040,2015-01-01,17:14:36,four_cheese,L,veggie,17.95
2015-000041,2015-01-01,17:15:20,green_garden,S,veggie,12
2015-000041,2015-01-01,17:15:20,four_cheese,M,veggie,14.75
2015-000042,2015-01-01,17:28:09,big_meat,S,classic,12
2015-000042,2015-01-01,17:28:09,five_cheese,L,veggie,18.5
2015-000042,2015-01-01,17:28:09,peppr_salami,M,supreme,16.5
2015-000042,2015-01-01,17:28:09,mexicana,L,veggie,20.25
2015-000043,2015-01-01,17:38:34,ital_supr,M,supreme,16.5
2015-000043,2015-01-01,17:38:34,peppr_salami,L,supreme,20.75
2015-000043,2015-01-01,17:38:34,ckn_alfredo,M,chicken,16.75
2015-000044,2015-01-01,17:54:20,spin_pesto,S,veggie,12.5
2015-000045,2015-01-01,17:55:48,four_cheese,L,veggie,17.95
2015-000045,2015-01-01,17:55:48,hawaiian,S,classic,10.5
2015-000045,2015-01-01,17:55:48,thai_ckn,M,chicken,16.75
2015-000046,2015-01-01,18:25:51,thai_ckn,M,chicken,16.75
2015-000046,2015-01-01,18:25:51,ckn_pesto,L,chicken,20.75
2015-000046,2015-01-01,18:25:51,classic_dlx,L,classic,20.5
2015-000047,2015-01-01,18:26:34,veggie_veg,S,veggie,12
2015-000047,2015-01-01,18:26:34,southw_ckn,L,chicken,20.75
2015-000048,2015-01-01,18:26:42,prsc_argla,L,supreme,20.75
2015-000048,2015-01-01,18:26:42,spicy_ital,L,supreme,20.75
2015-000048,2015-01-01,18:26:42,green_garden,S,veggie,12
2015-000048,2015-01-01,18:26:42,ckn_pesto,M,chicken,16.75
2015-000049,2015-01-01,18:33:00,sicilian,L,supreme,20.25
2015-000050,2015-01-01,18:41:01,the_greek,XL,classic,25.5
2015-000051,2015-01-01,18:48:28,bbq_ckn,L,chicken,20.75
2015-000051,2015-01-01,18:48:28,pep_msh_pep,L,classic,17.5
2015-000052,2015-01-01,18:53:02,spicy_ital,L,supreme,20.75
2015-000052,2015-01-01,18:53:02,mexicana,L,veggie,20.25
2015-000052,2015-01-01,18:53:02,hawaiian,L,classic,16.5
2015-000053,2015-01-01,18:54:17,pep_msh_pep,S,classic,11
2015-000053,2015-01-01,18:54:17,spinach_supr,M,supreme,16.5
2015-000054,2015-01-01,19:01:45,prsc_argla,M,supreme,16.5
2015-000054,2015-01-01,19:01:45,thai_ckn,L,chicken,20.75
2015-000055,2015-01-01,19:03:19,peppr_salami,S,supreme,12.5
2015-000055,2015-01-01,19:03:19,spicy_ital,L,supreme,20.75
2015-000056,2015-01-01,19:07:00,southw_ckn,M,chicken,16.75
2015-000056,2015-01-01,19:07:00,classic_dlx,M,classic,16
2015-000056,2015-01-01,19:07:00,mediterraneo,L,veggie,20.25
2015-000057,2015-01-01,19:10:51,classic_dlx,M,classic,16
2015-000058,2015-01-01,19:30:40,five_cheese,L,veggie,18.5
2015-000058,2015-01-01,19:30:40,pepperoni,M,classic,12.5
2015-000059,2015-01-01,19:40:08,pep_msh_pep,S,classic,11
2015-000059,2015-01-01,19:40:08,pepperoni,L,classic,15.25
2015-000059,2015-01-01,19:40:08,ital_veggie,S,veggie,12.75
2015-000060,2015-01-01,20:05:16,ckn_pesto,L,chicken,20.75
2015-000060,2015-01-01,20:05:16,four_cheese,M,veggie,14.75
2015-000061,2015-01-01,20:08:43,ital_supr,L,supreme,20.75
2015-000061,2015-01-01,20:08:43,bbq_ckn,M,chicken,16.75
2015-000062,2015-01-01,20:50:16,spinach_supr,M,supreme,16.5
2015-000062,2015-01-01,20:50:16,bbq_ckn,M,chicken,16.75
2015-000063,2015-01-01,20:51:42,pep_msh_pep,M,classic,14.5
2015-000064,2015-01-01,20:52:08,big_meat,S,classic,12
2015-000065,2015-01-01,21:16:00,spinach_supr,M,supreme,16.5
2015-000065,2015-01-01,21:16:00,pep_msh_pep,S,classic,11
2015-000065,2015-01-01,21:16:00,sicilian,S,supreme,12.25
2015-000065,2015-01-01,21:16:00,spicy_ital,S,supreme,12.5
2015-000066,2015-01-01,21:47:55,classic_dlx,M,classic,16
2015-000066,2015-01-01,21:47:55,ital_cpcllo,M,classic,16
2015-000067,2015-01-01,22:03:40,southw_ckn,L,chicken,20.75
2015-000068,2015-01-01,22:07:32,ital_supr,L,supreme,20.75
2015-000068,2015-01-01,22:07:32,classic_dlx,M,classic,16
2015-000068,2015-01-01,22:07:32,ital_supr,M,supreme,16.5
2015-000069,2015-01-01,22:12:13,bbq_ckn,L,chicken,20.75
2015-000070,2015-01-02,11:38:51,soppressata,L,supreme,20.75
2015-000070,2015-01-02,11:38:51,ital_veggie,S,veggie,12.75
2015-000071,2015-01-02,11:40:50,thai_ckn,L,chicken,20.75
2015-000072,2015-01-02,11:57:25,spinach_fet,L,veggie,20.25
2015-000073,2015-01-02,11:58:56,thai_ckn,S,chicken,12.75
2015-000074,2015-01-02,12:01:12,mexicana,L,veggie,20.25
2015-000074,2015-01-02,12:01:12,spin_pesto,S,veggie,12.5
2015-000074,2015-01-02,12:01:12,spinach_supr,L,supreme,20.75
2015-000074,2015-01-02,12:01:12,five_cheese,L,veggie,18.5
2015-000075,2015-01-02,12:10:15,napolitana,L,classic,20.5
2015-000075,2015-01-02,12:10:15,ital_supr,S,supreme,12.5
2015-000075,2015-01-02,12:10:15,mediterraneo,L,veggie,20.25
2015-000076,2015-01-02,12:21:17,hawaiian,L,classic,16.5
2015-000076,2015-01-02,12:21:17,ital_veggie,L,veggie,21
2015-000076,2015-01-02,12:21:17,spicy_ital,L,supreme,20.75
2015-000076,2015-01-02,12:21:17,big_meat,S,classic,12
2015-000077,2015-01-02,12:22:46,hawaiian,M,classic,13.25
2015-000077,2015-01-02,12:22:46,bbq_ckn,M,chicken,16.75
2015-000078,2015-01-02,12:28:14,classic_dlx,S,classic,12
2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75
2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75
2015-000078,2015-01-02,12:28:14,thai_ckn,S,chicken,12.75
2015-000078,2015-01-02,12:28:14,four_cheese,L,veggie,17.95
2015-000078,2015-01-02,12:28:14,ital_cpcllo,M,classic,16
2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75
2015-000078,2015-01-02,12:28:14,big_meat,S,classic,12
2015-000079,2015-01-02,12:29:11,ital_cpcllo,L,classic,20.5
2015-000079,2015-01-02,12:29:11,thai_ckn,L,chicken,20.75
2015-000079,2015-01-02,12:29:11,pep_msh_pep,S,classic,11
2015-000080,2015-01-02,12:35:38,pepperoni,S,classic,9.75
2015-000080,2015-01-02,12:35:38,thai_ckn,M,chicken,16.75
2015-000081,2015-01-02,12:40:01,thai_ckn,L,chicken,20.75
2015-000082,2015-01-02,12:45:51,spicy_ital,L,supreme,20.75
2015-000082,2015-01-02,12:45:51,big_meat,S,classic,12
2015-000082,2015-01-02,12:45:51,cali_ckn,M,chicken,16.75
2015-000082,2015-01-02,12:45:51,veggie_veg,M,veggie,16
2015-000083,2015-01-02,12:53:27,southw_ckn,S,chicken,12.75
2015-000084,2015-01-02,13:13:41,pepperoni,L,classic,15.25
2015-000085,2015-01-02,13:34:49,classic_dlx,S,classic,12
2015-000085,2015-01-02,13:34:49,classic_dlx,M,classic,16
2015-000085,2015-01-02,13:34:49,ital_supr,L,supreme,20.75
2015-000085,2015-01-02,13:34:49,the_greek,M,classic,16
2015-000086,2015-01-02,13:40:31,hawaiian,L,classic,16.5
2015-000087,2015-01-02,14:01:02,mexicana,M,veggie,16
2015-000087,2015-01-02,14:01:02,ital_cpcllo,M,classic,16
2015-000087,2015-01-02,14:01:02,spinach_supr,S,supreme,12.5
2015-000087,2015-01-02,14:01:02,spinach_supr,L,supreme,20.75
2015-000088,2015-01-02,14:10:08,five_cheese,L,veggie,18.5
2015-000089,2015-01-02,14:30:19,thai_ckn,L,chicken,20.75
2015-000089,2015-01-02,14:30:19,soppressata,L,supreme,20.75
2015-000090,2015-01-02,15:08:48,thai_ckn,S,chicken,12.75
2015-000090,2015-01-02,15:08:48,sicilian,L,supreme,20.25
2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75
2015-000091,2015-01-02,15:14:43,pepperoni,S,classic,9.75
2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75
2015-000091,2015-01-02,15:14:43,ckn_pesto,S,chicken,12.75
2015-000092,2015-01-02,15:17:02,spinach_fet,S,veggie,12
2015-000092,2015-01-02,15:17:02,ital_supr,M,supreme,16.5
2015-000092,2015-01-02,15:17:02,peppr_salami,M,supreme,16.5
2015-000092,2015-01-02,15:17:02,bbq_ckn,M,chicken,16.75
2015-000092,2015-01-02,15:17:02,spinach_supr,S,supreme,12.5
2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16
2015-000092,2015-01-02,15:17:02,ital_supr,L,supreme,20.75
2015-000092,2015-01-02,15:17:02,pepperoni,M,classic,12.5
2015-000092,2015-01-02,15:17:02,ital_veggie,S,veggie,12.75
2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16
2015-000093,2015-01-02,15:29:31,sicilian,M,supreme,16.25
2015-000094,2015-01-02,16:17:16,ital_cpcllo,M,classic,16
2015-000094,2015-01-02,16:17:16,southw_ckn,S,chicken,12.75
2015-000095,2015-01-02,16:18:04,peppr_salami,L,supreme,20.75
