name,caption,lines,connect_rer,connect_tramway,connect_transilien,connect_other,passengers,latitude,longitude,location
Argentine,,1,,,,,2079212,48.875278,2.29,"Paris 16th, Paris 17th"
Bastille,,"1, 5, 8",,,,,8069243,48.853082,2.369077,"Paris 4th, Paris 11th, Paris 12th"
Bérault,,1,,,,,2106827,48.845278,2.428333,"Saint-Mandé, Vincennes"
Champs-Élysées—Clemenceau,Grand Palais,"1, 13",,,,,1909005,48.8675,2.3135,Paris 8th
Charles de Gaulle—Étoile,,"1, 2, 6",A,,,,4291663,48.873889,2.295,"Paris 8th, Paris 16th, Paris 17th"
Château de Vincennes,,1,,,,,3617738,48.844444,2.44,"Paris 12th, Vincennes"
Châtelet,,"1, 4, 7, 11, 14","A, B, D",,,,8350794,48.858351999999996,2.347324,"Paris 1st, Paris 4th"
Concorde,,"1, 8, 12",,,,,3401219,48.86541,2.32111,Paris 1st
Esplanade de La Défense,,1,,,,,4708183,48.888333,2.25,"Courbevoie, Puteaux"
Franklin D. Roosevelt,,"1, 9",,,,,6173830,48.868977,2.30989,Paris 8th
Gare de Lyon,,"1, 14","A, D",,R,"TGV, TGV Lyria, Renfe-SNCF, OUIGO, Frecciarossa",28640475,48.844722,2.373889,Paris 12th
George V,,1,,,,,3842260,48.871944,2.300556,Paris 8th
Hôtel de Ville,,"1, 11",,,,,7251729,48.857487,2.351525,Paris 4th
La Défense,Grande Arche,1,"A, E",T2,"L, U",,9256802,48.891852,2.238539,Puteaux
Les Sablons,Jardin d'Acclimatation,1,,,,,3954920,48.880833,2.272222,Neuilly-sur-Seine
Louvre—Rivoli,,1,,,,,1869612,48.86108,2.340283,Paris 1st
Nation,,"1, 2, 6, 9",A,,,,6050797,48.848333,2.395833,"Paris 11th, Paris 12th"
Palais Royal–Musée du Louvre,,"1, 7",,,,,4822599,48.862644,2.336578,Paris 1st
Pont de Neuilly,,1,,,,,4809503,48.885,2.259722,Neuilly-sur-Seine
Porte de Vincennes,,1,,"T3a, T3b",,,5446602,48.847326,2.407759,"Paris 12th, Paris 20th"
Porte Maillot,Palais des Congrès,1,C,,,,4138301,48.878056,2.281944,"Paris 16th, Paris 17th"
Reuilly—Diderot,,"1, 8",,,,,4580091,48.846944,2.386389,Paris 12th
Saint-Mandé,,1,,,,,3944640,48.846111,2.418889,Saint-Mandé
Saint-Paul,Le Marais,1,,,,,4295823,48.855214,2.360859,Paris 4th
Tuileries,,1,,,,,1859552,48.864531,2.329617,Paris 1st
Alexandre Dumas,,2,,,,,2476608,48.855907,2.39479,"Paris 11th, Paris 20th"
Anvers,Sacré-Cœur,2,,,,Funiculaire de Montmartre,3420749,48.883007,2.344849,"Paris 9th, Paris 18th"
Avron,,2,,,,,1345521,48.85194,2.397863,Paris 11th
Barbès—Rochechouart,,"2, 4",,,,,5390939,48.883611,2.350556,"Paris 9th, Paris 10th, Paris 18th"
Belleville,,"2, 11",,,,,7314438,48.872083,2.376947,Paris 10th
Blanche,,2,,,,,2167570,48.883459,2.333703,Paris 9th
Colonel Fabien,,2,,,,,3043606,48.877136,2.37116,Paris 10th
Courcelles,,2,,,,,1583429,48.879167,2.304167,"Paris 8th, Paris 17th"
Couronnes,,2,,,,,2151515,48.869521,2.379861,"Paris 11th, Paris 20th"
Jaurès,,"2, 5, 7bis",,,,,4055461,48.88292,2.37067,"Paris 10th, Paris 19th"
La Chapelle,,2,"B, D, E",,"H, K","TGV, TER, Thalys, Eurostar",4855531,48.884411,2.360288,"Paris 10th, Paris 18th"
Ménilmontant,,2,,,,,2847264,48.866248,2.383618,"Paris 11th, Paris 20th"
Monceau,,2,,,,,1148677,48.88,2.308333,"Paris 8th, Paris 17th"
Père Lachaise,,"2, 3",,,,,3465307,48.862921,2.387388,"Paris 11th, Paris 20th"
Philippe Auguste,,2,,,,,1262653,48.858021,2.390938,"Paris 11th, Paris 20th"
Pigalle,,"2, 12",,,,,3501831,48.882255,2.337573,"Paris 9th, Paris 18th"
Place de Clichy,,"2, 13",,,,,5161932,48.883889,2.3275,"Paris 8th, Paris 9th, Paris 17th, Paris 18th"
Porte Dauphine,,2,C,,,,2021656,48.87139,2.27667,Paris 16th
Rome,,2,,,,,1696331,48.882425,2.322052,"Paris 8th, Paris 17th"
Stalingrad,,"2, 5, 7",,,,,4924583,48.88429,2.36586,"Paris 10th, Paris 19th"
Ternes,,2,,,,,2292256,48.877778,2.298611,"Paris 8th, Paris 17th"
Victor Hugo,,2,,,,,2801041,48.86972,2.285,Paris 16th
Villiers,,"2, 3",,,,,3586376,48.88113,2.314867,"Paris 8th, Paris 17th"
Anatole France,,3,,,,,2311825,48.892022,2.285536,Levallois-Perret
Arts et Métiers,,"3, 11",,,,,2403042,48.8655,2.3561,Paris 3rd
Bourse,,3,,,,,1725043,48.868738,2.34137,Paris 2nd
Europe,,3,,,,,1106459,48.878821,2.32238,Paris 8th
Gallieni,Parc de Bagnolet,3,,,,,3899195,48.8635,2.41578,Bagnolet
Gambetta,,3,,,,,4796724,48.864947,2.398451,Paris 20th
Havre—Caumartin,,"3, 9","A, E",,,,5894982,48.873465,2.327968,Paris 9th
Louise Michel,,3,,,,,2319185,48.889273,2.288073,Levallois-Perret
Malesherbes,,3,,,,,1427143,48.882476,2.311002,Paris 17th
Opéra,,"3, 7, 8",A,,,,5193831,48.870636,2.332353,"Paris 2nd, Paris 9th"
Parmentier,,3,,,,,2037234,48.865299,2.374381,Paris 11th
Pereire,,3,C,,,,3130190,48.884648,2.299211,Paris 17th
Pont de Levallois—Bécon,,3,,,,,2984777,48.897313,2.280787,Levallois-Perret
Porte de Bagnolet,,3,,T3b,,,3085790,48.864565,2.407278,Paris 20th
Porte de Champerret,,3,,,,,2101673,48.885851,2.293487,Paris 17th
Quatre-Septembre,,3,,,,,1165004,48.869574,2.336633,Paris 2nd
Réaumur—Sébastopol,,"3, 4",,,,,3579544,48.866111,2.3525,"Paris 2nd, Paris 3rd"
République,,"3, 5, 8, 9, 11",,,,,11079708,48.867503,2.363811,"Paris 3rd, Paris 10th, Paris 11th"
Rue Saint-Maur,,3,,,,,2004445,48.864335,2.379448,Paris 11th
Saint-Lazare,,"3, 12, 13, 14",E,,"J, L","TGV, TER, Intercités",33128384,48.87549,2.32664,"Paris 8th, Paris 9th"
Sentier,,3,,,,,2222744,48.8676,2.3464,Paris 2nd
Temple,,3,,,,,891858,48.866488,2.360595,Paris 3rd
Wagram,,3,,,,,1508617,48.884057,2.303668,Paris 17th
Pelleport,,3bis,,,,,229524,48.868671,2.401752,Paris 20th
Porte des Lilas,,"3bis, 11",,T3b,,,3105016,48.877183,2.406655,"Paris 19th, Paris 20th"
Saint-Fargeau,,3bis,,,,,472258,48.872083,2.40452,Paris 20th
Alésia,,4,,,,,3098136,48.828333,2.326667,Paris 14th
Bagneux—Lucie Aubrac,,4,,,,,,48.8027,2.3173,Bagneux
Barbara,,4,,,,,,48.8092,2.3176,"Montrouge, Bagneux"
Château d'Eau,,4,,,,,2687103,48.872778,2.356111,Paris 10th
Château Rouge,,4,,,,,5841122,48.886667,2.349444,Paris 18th
Cité,,4,,,,,1004657,48.855278,2.346389,Paris 4th
Denfert-Rochereau,,"4, 6",B,,,,2543959,48.833901,2.332728,Paris 14th
Étienne Marcel,,4,,,,,1705639,48.864167,2.350556,Paris 1st
Gare de l'Est,,"4, 5, 7",,,P,"TGV, TER, OUIGO, Nightjet",15538471,48.876111,2.358333,Paris 10th
Gare du Nord,,"4, 5","B, D, E",,"H, K","TGV, TER, Thalys, Eurostar",34503097,48.880556,2.355,Paris 10th
Les Halles,,4,"A, B, D",,,,10623876,48.8625,2.34611,Paris 1st
Mairie de Montrouge,,4,,,,,4316647,48.81843,2.31953,Montrouge
Marcadet—Poissonniers,,"4, 12",,,,,3982005,48.890278,2.35,Paris 18th
Montparnasse—Bienvenüe,,"4, 6, 12, 13",,,N,"TGV, TER, Intercités, OUIGO",20407224,48.843466,2.323072,"Paris 6th, Paris 14th, Paris 15th"
Mouton-Duvernet,,4,,,,,1131403,48.832139,2.330325,Paris 14th
Odéon,,"4, 10",,,,,3478491,48.851944,2.338889,Paris 6th
Porte d'Orléans,,4,,T3a,,,4175817,48.823189,2.325364,Paris 14th
Porte de Clignancourt,Puces de Saint-Ouen,4,,T3b,,,5611814,48.896944,2.345,Paris 18th
Raspail,,"4, 6",,,,,1238357,48.839194,2.330606,Paris 14th
Saint-Germain-des-Prés,,4,,,,,2378860,48.853889,2.333333,Paris 6th
Saint-Michel,,4,"B, C",,,,3747385,48.853611,2.343889,"Paris 5th, Paris 6th"
Saint-Placide,,4,,,,,2391205,48.846844,2.326914,Paris 6th
Saint-Sulpice,,4,,,,,1571987,48.850909,2.330652,Paris 6th
Simplon,,4,,,,,2056501,48.893333,2.348333,Paris 18th
Strasbourg—Saint-Denis,,"4, 8, 9",,,,,6345770,48.869722,2.353889,"Paris 2nd, Paris 3rd, Paris 10th"
Vavin,,4,,,,,1322588,48.842233,2.32895,"Paris 6th, Paris 14th"
Bobigny—Pablo Picasso,Préfecture—Hôtel du Département,5,,T1,,,6561327,48.906538,2.449994,Bobigny
Bobigny—Pantin—Raymond Queneau,,5,,,,,2335465,48.895,2.425,Bobigny
