nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{1}_{1}H0,1,0,H,0.8783,0.0086,0.999855,7.8e-5,TRUE,,,,,,,,,,,,,2.792847351,9e-9,,,1007825.031898,1.4e-5,7288.971064,1.3e-5
^{2}_{1}H1,1,1,H,2.1421,0.0088,1.45e-4,7.8e-5,TRUE,,,,,,,,,,,,,0.857438231,5e-9,0.0028578,3e-7,2014101.777844,1.5e-5,13135.722895,1.5e-5
^{3}_{1}H2,1,2,H,1.7591,0.0363,,,FALSE,388781328.00697297,631138.51949184,,B-,1,,,,,,,,2.97896246,1.4e-8,,,3016049.28132,8e-5,14949.8109,8e-5
^{4}_{1}H3,1,3,H,,,,,FALSE,,,1,N,1,,,,,,,,,,,,4026431.867,107.354,24621.129,100
^{5}_{1}H4,1,4,H,,,,,FALSE,8.608258774931799e-23,6.49679907542023e-24,,2N,1,,,,,,,,,,,,5035311.492,96.02,32892.447,89.443
^{6}_{1}H5,1,5,H,,,,,FALSE,2.94346912949281e-22,8.35565430307637e-23,,,,,,,,,,,,,,,6044955.437,272.816,41875.725,254.127
^{7}_{1}H6,1,6,H,,,,,FALSE,5.06930794523762e-21,2.81628219179868e-20,,,,,,,,,,,,,,,7052749,1078,49135,1004
^{3}_{2}He1,2,1,He,1.9661,0.003,2e-6,2e-6,TRUE,,,,,,,,,,,,,-2.12762531,3e-8,,,3016029.32197,6e-5,14931.21888,6e-5
^{4}_{2}He2,2,2,He,1.6755,0.0028,0.9999979999999999,2e-6,TRUE,,,0,,,,,,,,,,,,,,4002603.25413,1.6e-4,2424.91587,1.5e-4
^{5}_{2}He3,2,3,He,,,,,FALSE,7.04070547949669e-22,0,1/2,N,,,,,,,,,,,,,5012057.224,21.47,11231.234,20
^{6}_{2}He4,2,4,He,2.066,0.0111,,,FALSE,0.8067,0.0015,1,B-,1,,,,,,,,,,,,6018885.889,0.057,17592.095,0.053
^{7}_{2}He5,2,5,He,,,,,FALSE,3.04158476714257e-21,4.0554463561901e-22,3/2,N,,,,,,,,,,,,,7027990.652,8.115,26073.128,7.559
^{8}_{2}He6,2,6,He,1.9239,0.0306,,,FALSE,0.1191,0.0012,2,B-,1,,B-N,0.16,0.01,,,,,,,,8033934.388,0.095,31609.683,0.089
^{9}_{2}He7,2,7,He,,,,,FALSE,,,5/2,N,1,,,,,,,,,,,,9043946.414,50.259,40935.826,46.816
^{10}_{2}He8,2,8,He,,,,,FALSE,1.5207923835712901e-21,1.01386158904752e-21,3,N,1,,,,,,,,,,,,10052815.306,99.676,49197.147,92.848
^{4}_{3}Li1,3,1,Li,,,,,FALSE,,,1,P,1,,,,,,,,,,,,4027185.561,227.733,25323.19,212.132
^{5}_{3}Li2,3,2,Li,,,,,FALSE,3.70924971602753e-22,0,1/2,P,,,,,,,,,,,,,5012537.8,53.677,11678.887,50
^{6}_{3}Li3,3,3,Li,2.589,0.039,0.048499999999999995,0.0171,TRUE,,,0,,,,,,,,,,0.822043,3e-6,-8.06e-4,6e-6,6015122.88742,0.00155,14086.88044,0.00144
^{7}_{3}Li4,3,4,Li,2.444,0.042,0.9515,0.0171,TRUE,,,1/2,,,,,,,,,,3.256407,1.2e-5,-0.04,3e-4,7016003.43426,0.0045,14907.10463,0.00419
