default_locale,base_locale
af-ZA,af
agq-CM,agq
ak-GH,ak
am-ET,am
ar-001,ar
as-IN,as
asa-TZ,asa
ast-ES,ast
az-Cyrl-AZ,az-Cyrl
az-Latn-AZ,az-Latn
bas-CM,bas
be-BY,be
bem-ZM,bem
bez-TZ,bez
bg-BG,bg
bm-ML,bm
bn-BD,bn
bo-CN,bo
br-FR,br
brx-IN,brx
bs-Cyrl-BA,bs-Cyrl
bs-Latn-BA,bs-Latn
ca-ES,ca
ccp-BD,ccp
ce-RU,ce
ceb-PH,ceb
cgg-UG,cgg
chr-US,chr
ckb-IQ,ckb
cs-CZ,cs
cy-GB,cy
da-DK,da
dav-KE,dav
de-DE,de
dje-NE,dje
doi-IN,doi
dsb-DE,dsb
dua-CM,dua
dyo-SN,dyo
dz-BT,dz
ebu-KE,ebu
ee-GH,ee
el-GR,el
en-US,en
eo-001,eo
es-ES,es
et-EE,et
eu-ES,eu
ewo-CM,ewo
fa-IR,fa
ff-Adlm-GN,ff-Adlm
ff-Latn-SN,ff-Latn
fi-FI,fi
fil-PH,fil
fo-FO,fo
fr-FR,fr
fur-IT,fur
fy-NL,fy
ga-IE,ga
gd-GB,gd
gl-ES,gl
gsw-CH,gsw
gu-IN,gu
guz-KE,guz
gv-IM,gv
ha-NG,ha
haw-US,haw
he-IL,he
hi-IN,hi
hi-Latn-IN,hi-Latn
hr-HR,hr
hsb-DE,hsb
hu-HU,hu
hy-AM,hy
ia-001,ia
id-ID,id
ig-NG,ig
ii-CN,ii
is-IS,is
it-IT,it
ja-JP,ja
jgo-CM,jgo
jmc-TZ,jmc
jv-ID,jv
ka-GE,ka
kab-DZ,kab
kam-KE,kam
kde-TZ,kde
kea-CV,kea
kgp-BR,kgp
khq-ML,khq
ki-KE,ki
kk-KZ,kk
kkj-CM,kkj
kl-GL,kl
kln-KE,kln
km-KH,km
kn-IN,kn
ko-KR,ko
kok-IN,kok
ks-Arab-IN,ks-Arab
ks-Deva-IN,ks-Deva
ksb-TZ,ksb
ksf-CM,ksf
ksh-DE,ksh
ku-TR,ku
kw-GB,kw
ky-KG,ky
lag-TZ,lag
lb-LU,lb
lg-UG,lg
lkt-US,lkt
ln-CD,ln
lo-LA,lo
lrc-IR,lrc
lt-LT,lt
lu-CD,lu
luo-KE,luo
luy-KE,luy
lv-LV,lv
mai-IN,mai
mas-KE,mas
mer-KE,mer
mfe-MU,mfe
mg-MG,mg
mgh-MZ,mgh
mgo-CM,mgo
mi-NZ,mi
mk-MK,mk
ml-IN,ml
mn-MN,mn
mni-Beng-IN,mni-Beng
mr-IN,mr
ms-MY,ms
mt-MT,mt
mua-CM,mua
my-MM,my
mzn-IR,mzn
naq-NA,naq
nb-NO,nb
nd-ZW,nd
nds-DE,nds
ne-NP,ne
nl-NL,nl
nmg-CM,nmg
nn-NO,nn
nnh-CM,nnh
nus-SS,nus
nyn-UG,nyn
om-ET,om
or-IN,or
os-GE,os
pa-Arab-PK,pa-Arab
pa-Guru-IN,pa-Guru
pcm-NG,pcm
pl-PL,pl
ps-AF,ps
pt-BR,pt
qu-PE,qu
rm-CH,rm
rn-BI,rn
ro-RO,ro
rof-TZ,rof
ru-RU,ru
rw-RW,rw
rwk-TZ,rwk
sa-IN,sa
sah-RU,sah
saq-KE,saq
sat-Olck-IN,sat-Olck
sbp-TZ,sbp
sc-IT,sc
sd-Arab-PK,sd-Arab
sd-Deva-IN,sd-Deva
se-NO,se
seh-MZ,seh
ses-ML,ses
sg-CF,sg
shi-Latn-MA,shi-Latn
shi-Tfng-MA,shi-Tfng
si-LK,si
sk-SK,sk
sl-SI,sl
smn-FI,smn
sn-ZW,sn
so-SO,so
sq-AL,sq
sr-Cyrl-RS,sr-Cyrl
sr-Latn-RS,sr-Latn
su-Latn-ID,su-Latn
sv-SE,sv
sw-TZ,sw
ta-IN,ta
te-IN,te
teo-UG,teo
tg-TJ,tg
th-TH,th
ti-ET,ti
tk-TM,tk
to-TO,to
tr-TR,tr
tt-RU,tt
twq-NE,twq
tzm-MA,tzm
ug-CN,ug
uk-UA,uk
ur-PK,ur
uz-Arab-AF,uz-Arab
uz-Cyrl-UZ,uz-Cyrl
uz-Latn-UZ,uz-Latn
vai-Latn-LR,vai-Latn
vai-Vaii-LR,vai-Vaii
vi-VN,vi
vun-TZ,vun
wae-CH,wae
wo-SN,wo
xh-ZA,xh
xog-UG,xog
yav-CM,yav
yi-001,yi
yo-NG,yo
yrl-BR,yrl
yue-Hans-CN,yue-Hans
yue-Hant-HK,yue-Hant
zgh-MA,zgh
zh-Hans-CN,zh-Hans
zh-Hant-TW,zh-Hant
zu-ZA,zu
