locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
af,wide,,{0} week,,,,{0} weke,,{0} dag,,,,{0} dae,,{0} uur,,,,{0} uur,,{0} minuut,,,,{0} minute,,{0} sekonde,,,,{0} sekondes
af,narrow,,{0} w.,,,,{0} w.,,{0} d.,,,,{0} d.,,{0} u.,,,,{0} u.,,{0} min.,,,,{0} min.,,{0} s.,,,,{0} s.
af-NA,wide,,{0} week,,,,{0} weke,,{0} dag,,,,{0} dae,,{0} uur,,,,{0} uur,,{0} minuut,,,,{0} minute,,{0} sekonde,,,,{0} sekondes
af-NA,narrow,,{0} w.,,,,{0} w.,,{0} d.,,,,{0} d.,,{0} u.,,,,{0} u.,,{0} min.,,,,{0} min.,,{0} s.,,,,{0} s.
agq,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
agq,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ak,wide,,nnawɔtwe {0},,,,nnawɔtwe {0},,da {0},,,,nna {0},,dɔnhwere {0},,,,dɔnhwere {0},,sima {0},,,,sima {0},,{0} s,,,,sima sini {0}
ak,narrow,,,,,,{0} w,,da {0},,,,nna {0},,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
am,wide,,{0} ሳምንት,,,,{0} ሳምንታት,,{0} ቀናት,,,,{0} ቀናት,,{0} ሰዓት,,,,{0} ሰዓቶች,,{0} ደቂቃ,,,,{0} ደቂቃዎች,,{0} ሰከንድ,,,,{0} ሰከንዶች
am,narrow,,{0} ሳምንት,,,,{0} ሳምንት,,{0} ቀ,,,,{0} ቀ,,{0} ሰ,,,,{0} ሰ,,{0} ደ,,,,{0} ደ,,{0} ሰ,,,,{0} ሰ
ar,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
ar,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-AE,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
