country_code_2,country_code_3,country_name,country_flag
AD,AND,Andorra,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M0 0h144.7l36 254.6-36 257.4H0z""/><path fill=""#d80027"" d=""M367.3 0H512v512H367.3l-29.7-257.3z""/><path fill=""#ffda44"" d=""M144.7 0h222.6v512H144.7z""/><path fill=""#d80027"" d=""M256 354.5V256h66.8v47.3zm-66.8-165.3H256V256h-66.8z""/><path fill=""#ff9811"" d=""M289.4 167a22.3 22.3 0 0 0-33.4-19.3 22.1 22.1 0 0 0-11.1-3c-12.3 0-22.3 10-22.3 22.3H167v111.3c0 41.4 32.9 65.4 58.7 77.8a22.1 22.1 0 0 0-3 11.2 22.3 22.3 0 0 0 33.3 19.3 22.1 22.1 0 0 0 11.1 3 22.3 22.3 0 0 0 19.2-33.5c25.8-12.4 58.7-36.4 58.7-77.8V167zm22.3 111.3c0 5.8 0 23.4-27.5 40.9a136.5 136.5 0 0 1-28.2 13.3c-7-2.4-17.8-6.7-28.2-13.3-27.5-17.5-27.5-35.1-27.5-41v-77.9h111.4z""/></g></svg>"
AE,ARE,United Arab Emirates,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#a2001d"" d=""M0 0h167l52.3 252L167 512H0z""/><path fill=""#eee"" d=""m167 167 170.8-44.6L512 167v178l-173.2 36.9L167 345z""/><path fill=""#6da544"" d=""M167 0h345v167H167z""/><path fill=""#333"" d=""M167 345h345v167H167z""/></g></svg>"
AF,AFG,Afghanistan,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M144.7 0h222.6l37 257.7-37 254.3H144.7l-42.4-255.2z""/><path fill=""#496e2d"" d=""M367.3 0H512v512H367.3z""/><path fill=""#333"" d=""M0 0h144.7v512H0z""/><g fill=""#ffda44""><path d=""M256 167a89 89 0 1 0 0 178 89 89 0 0 0 0-178zm0 144.7a55.7 55.7 0 1 1 0-111.4 55.7 55.7 0 0 1 0 111.4z""/><path d=""M256 222.6c-12.3 0-22.3 10-22.3 22.3v33.4h44.6v-33.4c0-12.3-10-22.3-22.3-22.3z""/></g></g></svg>"
AG,ATG,Antigua and Barbuda,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#333"" d=""M0 .4h512l-34 229H36z""/><path fill=""#ffda44"" d=""m367.3 205.3-109.7 19.4-112.9-19.4 45.5-21.3-24.2-44 49.3 9.4 6.3-49.9 34.4 36.7 34.4-36.6 6.3 50L346 140l-24.2 44z""/><path fill=""#0052b4"" d=""M25.6 205.3h466.8L257 439.5z""/><path fill=""#eee"" d=""M34 307.4h446L256 511.6z""/><path fill=""#a2001d"" d=""m0 511.6 256 .4L0 .4zm256 .4 256-.4V0z""/></g></svg>"
AI,AIA,Anguilla,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M256 0h256v512H0V256Z""/><path fill=""#eee"" d=""M0 0v32l32 32L0 96v160h32l32-32 32 32h32v-83l83 83h45l-8-16 8-15v-14l-83-83h83V96l-32-32 32-32V0H96L64 32 32 0Z""/><path fill=""#d80027"" d=""M32 0v32H0v64h32v160h64V96h160V32H96V0Zm96 128 128 128v-31l-97-97z""/><path fill=""#496e2d"" d=""M445.2 256.1zm-155.8 0z""/><path fill=""#eee"" d=""M433 293.6a62.4 62.4 0 0 0 12.2-37.5V144.8a55.4 55.4 0 0 1-33.4 11.1 55.6 55.6 0 0 1-44.5-22.2 55.6 55.6 0 0 1-44.5 22.2 55.4 55.4 0 0 1-33.4-11.1v111.3c0 15 5 27.3 12.3 37.5h131.2z""/><path fill=""#ff9811"" d=""M409.8 235.5a91 91 0 0 0 6.3-27.6c0-10.1-13.2-18.3-13.2-18.3s-13.2 8.2-13.2 18.3a91 91 0 0 0 6.3 27.6l-7.6 17.1a38.3 38.3 0 0 0 29 0zm-51.5-55.6a91 91 0 0 0-27 8.3c-8.8 5-9.3 20.5-9.3 20.5s13.7 7.4 22.4 2.3c5.5-3.1 15-11.8 20.8-19.2l18.6-2a38.4 38.4 0 0 0-4.7-14 38.4 38.4 0 0 0-9.7-11.1zm-22.4 72.2a91 91 0 0 0 20.7 19.3c8.8 5 22.5-2.3 22.5-2.3s-.6-15.5-9.3-20.5a91 91 0 0 0-27-8.4l-11.1-15.1a38.4 38.4 0 0 0-9.7 11 38.4 38.4 0 0 0-4.8 14z""/><path fill=""#338af3"" d=""M299 289.5c20.7 33.3 68.3 44.5 68.3 44.5s47.6-11.2 68.4-44.5H298.9Z""/></g></svg>"
AL,ALB,Albania,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0h512v512H0z""/><path fill=""#333"" d=""M400.7 190H308a33.3 33.3 0 0 0-24.2-56.4 33.3 33.3 0 0 0-27.8 14.9 33.4 33.4 0 1 0-52 41.5h-92.7a45.8 45.8 0 0 0 46 44.5h-1.5c0 24.6 20 44.6 44.5 44.6 0 8 2.1 15.4 5.8 21.8l-37 37 28.4 28.3 40.2-40.2a30.5 30.5 0 0 0 4.9 1.4l-24.3 54.8L256 423l37.7-40.8-24.3-54.8a30.4 30.4 0 0 0 4.9-1.4l40.2 40.2 28.3-28.3-37-37a44.2 44.2 0 0 0 5.9-21.8c24.5 0 44.5-20 44.5-44.6h-1.5c24.6 0 46-19.9 46-44.5z""/></g></svg>"
AM,ARM,Armenia,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""m0 166.9 253-26.7L512 167v178l-261.1 26L0 344.8z""/><path fill=""#d80027"" d=""M0 0h512v166.9H0z""/><path fill=""#ff9811"" d=""M0 344.9h512V512H0z""/></g></svg>"
AO,AGO,Angola,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0h512v256l-253 36.6L0 256z""/><path fill=""#333"" d=""M0 256h512v256H0z""/><g fill=""#ffda44""><path d=""m220.9 203.6 21.7 15.8-8.3 25.5L256 229l21.7 15.7-8.3-25.5 21.7-15.7h-26.8L256 178l-8.3 25.5z""/><path d=""M320 145.1a127.2 127.2 0 0 0-64-17v33.3a94 94 0 0 1 47.3 12.7 94.7 94.7 0 0 1-94.6 163.8 94 94 0 0 1-31.6-29.8l-27.9 18.4a128.1 128.1 0 0 0 217.7-6.5A128.1 128.1 0 0 0 320 145.1z""/><path d=""M182.2 233.7a33.4 33.4 0 0 0 13.3 45.4l108.4 59.2c-7.4 13.5-3.4 30 10 37.3l29.3 16a27.8 27.8 0 0 0 37.8-11l16-29.3z""/></g></g></svg>"
AR,ARG,Argentina,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#338af3"" d=""M0 0h512v144.7L488 256l24 111.3V512H0V367.3L26 256 0 144.7z""/><path fill=""#eee"" d=""M0 144.7h512v222.6H0z""/><path fill=""#ffda44"" d=""m332.4 256-31.2 14.7 16.7 30.3-34-6.5-4.2 34.3-23.7-25.2-23.6 25.2-4.3-34.3-34 6.5 16.6-30.3-31.2-14.7 31.3-14.7L194 211l34 6.5 4.3-34.3 23.6 25.2 23.6-25.2 4.4 34.3 34-6.5-16.7 30.3z""/></g></svg>"
AS,ASM,American Samoa,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M512 20.4V490L23.8 255.8z""/><path fill=""#a2001d"" d=""M445.2 246.5h-30.5c8-9.6 7.5-23.7-1.5-32.7a24.2 24.2 0 0 0 0-34.2l-.5.5a25 25 0 0 0 .5-34.8l-137 137a23.9 23.9 0 0 0 34 0l2.6-2.5 65.6-6v28.3h22.3v-30.2l33.4-3z""/><path fill=""#ffda44"" d=""M278.3 311.7 256 300.5l22.3-11.1H423v22.3z""/><path fill=""#0052b4"" d=""M0 0v512h512L28.7 256.2 512 0z""/><path fill=""#d80027"" d=""M512 0 0 256l512 256v-22L43.8 256 512 20.4z""/></g></svg>"
