name,value,uncert,sf_value,sf_uncert,units
alpha particle-electron mass ratio,7294.29954142,2.4e-7,12,2,
alpha particle mass,6.6446573357e-27,2e-36,11,2,kg
alpha particle mass energy equivalent,5.9719201914e-10,1.8e-19,11,2,J
alpha particle mass energy equivalent in MeV,3727.3794066,1.1e-6,11,2,MeV
alpha particle mass in u,4.001506179127,6.3e-11,13,2,u
alpha particle molar mass,0.0040015061777,1.2e-12,11,2,kg mol^-1
alpha particle-proton mass ratio,3.97259969009,2.2e-10,12,2,
alpha particle relative atomic mass,4.001506179127,6.3e-11,13,2,
Angstrom star,1.00001495e-10,9e-17,9,2,m
atomic mass constant,1.6605390666e-27,5e-37,12,2,kg
atomic mass constant energy equivalent,1.4924180856e-10,4.5e-20,12,2,J
atomic mass constant energy equivalent in MeV,931.49410242,2.8e-7,11,2,MeV
atomic mass unit-electron volt relationship,931494102.42,0.28,11,2,eV
atomic mass unit-hartree relationship,34231776.874,0.01,11,2,E_h
atomic mass unit-hertz relationship,225234271871e12,68000000000000,12,2,Hz
atomic mass unit-inverse meter relationship,751300661040000,230000,11,2,m^-1
atomic mass unit-joule relationship,1.4924180856e-10,4.5e-20,12,2,J
atomic mass unit-kelvin relationship,10809540191600,3300,12,2,K
atomic mass unit-kilogram relationship,1.6605390666e-27,5e-37,12,2,kg
atomic unit of 1st hyperpolarizability,3.2063613061e-53,1.4999999999999998e-62,11,2,C^3 m^3 J^-2
atomic unit of 2nd hyperpolarizability,6.2353799904999995e-65,3.8e-74,11,2,C^4 m^4 J^-3
atomic unit of action,1.054571817e-34,,10,,J s
atomic unit of charge,1.6021766340000001e-19,,10,,C
atomic unit of charge density,1081202384570,490,12,2,C m^-3
atomic unit of current,0.00662361823751,1.3e-14,13,2,A
atomic unit of electric dipole mom.,8.4783536255e-30,1.3e-39,11,2,C m
atomic unit of electric field,514220674763,78,12,2,V m^-1
atomic unit of electric field gradient,97173624292e11,2900000000000,11,2,V m^-2
atomic unit of electric polarizability,1.64877727436e-41,5e-51,12,2,C^2 m^2 J^-1
