name,website,status,csd_type,census_div,latitude,longitude,land_area_km2,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Addington Highlands,https://addingtonhighlands.ca,lower-tier,township,Lennox and Addington,45,-77.25,1293.99,2429,2402,2512,2517,2318,2534,1.88,1.86,1.94,1.95,1.79,1.96,-0.0111,0.0458,0.002,-0.0791,0.0932
Adelaide Metcalfe,https://adelaidemetcalfe.on.ca,lower-tier,township,Middlesex,42.95,-81.7,331.11,3128,3149,3135,3028,2990,3011,9.45,9.51,9.47,9.14,9.03,9.09,0.0067,-0.0044,-0.0341,-0.0125,0.007
Adjala-Tosorontio,https://www.adjtos.ca,lower-tier,township,Simcoe,44.133333,-79.933333,371.53,9359,10082,10695,10603,10975,10989,25.19,27.14,28.79,28.54,29.54,29.58,0.0773,0.0608,-0.0086,0.0351,0.0013
Admaston/Bromley,https://admastonbromley.com,lower-tier,township,Renfrew,45.529167,-76.896944,519.59,2837,2824,2716,2844,2935,2995,5.46,5.44,5.23,5.47,5.65,5.76,-0.0046,-0.0382,0.0471,0.032,0.0204
Ajax,https://www.ajax.ca,lower-tier,town,Durham,43.858333,-79.036389,66.64,64430,73753,90167,109600,119677,126666,966.84,1106.74,1353.05,1644.66,1795.87,1900.75,0.1447,0.2226,0.2155,0.0919,0.0584
Alberton,https://alberton.ca,single-tier,township,Rainy River,48.6,-93.533333,116.6,1027,956,958,864,969,954,8.81,8.2,8.22,7.41,8.31,8.18,-0.0691,0.0021,-0.0981,0.1215,-0.0155
Alfred and Plantagenet,https://www.alfred-plantagenet.com,lower-tier,township,Prescott and Russell,45.566667,-74.916667,391.79,8315,8593,8654,9196,9680,9949,21.22,21.93,22.09,23.47,24.71,25.39,0.0334,0.0071,0.0626,0.0526,0.0278
Algonquin Highlands,https://www.algonquinhighlands.ca,lower-tier,township,Haliburton,45.4,-78.75,999.69,1687,1827,1976,2186,2351,2588,1.69,1.83,1.98,2.19,2.35,2.59,0.083,0.0816,0.1063,0.0755,0.1008
Alnwick/Haldimand,https://www.ahtwp.ca,lower-tier,township,Northumberland,44.083333,-78.033333,398.25,5528,5846,6435,6617,6869,7473,13.88,14.68,16.16,16.62,17.25,18.76,0.0575,0.1008,0.0283,0.0381,0.0879
Amaranth,https://www.amaranth.ca,lower-tier,township,Dufferin,43.983333,-80.233333,265.02,3450,3770,3845,3963,4079,4327,13.02,14.23,14.51,14.95,15.39,16.33,0.0928,0.0199,0.0307,0.0293,0.0608
Amherstburg,https://www.amherstburg.ca,lower-tier,town,Essex,42.1,-83.083333,183.76,19273,20339,21748,21556,21936,23524,104.88,110.68,118.35,117.31,119.37,128.01,0.0553,0.0693,-0.0088,0.0176,0.0724
The Archipelago,https://www.thearchipelago.on.ca,single-tier,township,Parry Sound,45.583333,-80.383333,592.14,555,505,576,566,531,979,0.94,0.85,0.97,0.96,0.9,1.65,-0.0901,0.1406,-0.0174,-0.0618,0.8437
Armour,https://www.armourtownship.ca,single-tier,township,Parry Sound,45.628889,-79.343889,163.52,1464,1326,1249,1372,1414,1459,8.95,8.11,7.64,8.39,8.65,8.92,-0.0943,-0.0581,0.0985,0.0306,0.0318
Armstrong,https://armstrongtownship.com,single-tier,township,Timiskaming,47.7111,-79.8244,90.16,1398,1223,1155,1216,1166,1199,15.51,13.56,12.81,13.49,12.93,13.3,-0.1252,-0.0556,0.0528,-0.0411,0.0283
Arnprior,https://www.arnprior.ca,lower-tier,town,Renfrew,45.433333,-76.35,13.04,7113,7192,7158,8114,8795,9629,545.48,551.53,548.93,622.24,674.46,738.42,0.0111,-0.0047,0.1336,0.0839,0.0948
Arran–Elderslie,https://www.arran-elderslie.ca,lower-tier,municipality,Bruce,44.4,-81.2,458.76,6851,6577,6747,6810,6803,6913,14.93,14.34,14.71,14.84,14.83,15.07,-0.04,0.0258,0.0093,-0.001,0.0162
Ashfield–Colborne–Wawanosh,https://acwtownship.ca,lower-tier,township,Huron,43.866667,-81.6,586.88,5477,5411,5409,5582,5422,5884,9.33,9.22,9.22,9.51,9.24,10.03,-0.0121,-4e-4,0.032,-0.0287,0.0852
Asphodel–Norwood,https://www.antownship.ca,lower-tier,township,Peterborough,44.353056,-78.018333,161.62,4080,3985,4247,4041,4109,4658,25.24,24.66,26.28,25,25.42,28.82,-0.0233,0.0657,-0.0485,0.0168,0.1336
Assiginack,https://www.assiginack.ca,single-tier,township,Manitoulin,45.733333,-81.8,224.89,926,931,914,960,1013,1008,4.12,4.14,4.06,4.27,4.5,4.48,0.0054,-0.0183,0.0503,0.0552,-0.0049
Athens,http://www.athenstownship.ca,lower-tier,township,Leeds and Grenville,44.625,-75.95,129.54,3040,3053,3086,3118,3018,3042,23.47,23.57,23.82,24.07,23.3,23.48,0.0043,0.0108,0.0104,-0.0321,0.008
Atikokan,http://www.atikokan.ca,single-tier,town,Rainy River,48.75,-91.616667,313.64,4043,3632,3293,2787,2753,2642,12.89,11.58,10.5,8.89,8.78,8.42,-0.1017,-0.0933,-0.1537,-0.0122,-0.0403
Augusta,https://augusta.ca,lower-tier,township,Leeds and Grenville,44.7511,-75.6003,313.77,7626,7635,7510,7430,7353,7386,24.3,24.33,23.93,23.68,23.43,23.54,0.0012,-0.0164,-0.0107,-0.0104,0.0045
Aurora,https://www.aurora.ca,lower-tier,town,York,44,-79.466667,50,34857,40167,47629,53203,55445,62057,697.14,803.34,952.58,1064.06,1108.9,1241.14,0.1523,0.1858,0.117,0.0421,0.1193
Aylmer,https://aylmer.ca,lower-tier,town,Elgin,42.766667,-80.983333,6.37,7018,7126,7069,7151,7492,7699,1101.73,1118.68,1109.73,1122.61,1176.14,1208.63,0.0154,-0.008,0.0116,0.0477,0.0276
Baldwin,https://baldwin.ca,single-tier,township,Sudbury,46.316667,-81.75,82.49,694,624,554,551,605,579,8.41,7.56,6.72,6.68,7.33,7.02,-0.1009,-0.1122,-0.0054,0.098,-0.043
Bancroft,https://www.bancroft.ca,lower-tier,town,Hastings,45.05,-77.85,227.54,4080,4089,3838,3880,3881,4065,17.93,17.97,16.87,17.05,17.06,17.86,0.0022,-0.0614,0.0109,3e-4,0.0474
Barrie,https://www.barrie.ca,single-tier,city,Simcoe,44.371111,-79.676944,99.01,79191,103710,128430,136063,141434,147829,799.83,1047.47,1297.14,1374.23,1428.48,1493.07,0.3096,0.2384,0.0594,0.0395,0.0452
Bayham,https://www.bayham.on.ca,lower-tier,municipality,Elgin,42.733333,-80.783333,244.6,6234,6375,6727,6989,7396,7096,25.49,26.06,27.5,28.57,30.24,29.01,0.0226,0.0552,0.0389,0.0582,-0.0406
Beckwith,https://twp.beckwith.on.ca,lower-tier,township,Lanark,45.083333,-76.066667,239.31,5495,6046,6387,6986,7644,9021,22.96,25.26,26.69,29.19,31.94,37.7,0.1003,0.0564,0.0938,0.0942,0.1801
Belleville,https://www.belleville.ca,single-tier,city,Hastings,44.166667,-77.383333,247.15,37083,45986,48821,49454,50716,55071,150.04,186.07,197.54,200.1,205.2,222.82,0.2401,0.0616,0.013,0.0255,0.0859
Billings,https://billingstwp.ca,single-tier,township,Manitoulin,45.9,-82.25,208.81,538,551,539,506,603,753,2.58,2.64,2.58,2.42,2.89,3.61,0.0242,-0.0218,-0.0612,0.1917,0.2488
Black River-Matheson,https://www.twpbrm.ca,single-tier,township,Cochrane,48.533333,-80.466667,1161.89,3220,2912,2619,2410,2438,2572,2.77,2.51,2.25,2.07,2.1,2.21,-0.0957,-0.1006,-0.0798,0.0116,0.055
Blandford-Blenheim,http://www.twp.bla-ble.on.ca,lower-tier,township,Oxford,43.233333,-80.6,382.03,7455,7630,7149,7359,7399,7565,19.51,19.97,18.71,19.26,19.37,19.8,0.0235,-0.063,0.0294,0.0054,0.0224
Blind River,https://www.blindriver.ca,single-tier,town,Algoma,46.183333,-82.95,513.98,3152,3969,3780,3549,3472,3422,6.13,7.72,7.35,6.9,6.76,6.66,0.2592,-0.0476,-0.0611,-0.0217,-0.0144
The Blue Mountains,https://www.thebluemountains.ca,lower-tier,town,Grey,44.483333,-80.383333,284.65,5667,6116,6825,6453,7025,9390,19.91,21.49,23.98,22.67,24.68,32.99,0.0792,0.1159,-0.0545,0.0886,0.3367
Bluewater,https://www.municipalityofbluewater.ca,lower-tier,municipality,Huron,43.45,-81.6,416.7,6874,6919,7120,7044,7136,7540,16.5,16.6,17.09,16.9,17.13,18.09,0.0065,0.0291,-0.0107,0.0131,0.0566
Bonfield,https://bonfieldtownship.com,single-tier,township,Nipissing,46.216667,-79.133333,206.22,1765,2064,1981,2016,1990,2146,8.56,10.01,9.61,9.78,9.65,10.41,0.1694,-0.0402,0.0177,-0.0129,0.0784
Bonnechere Valley,https://www.bonnecherevalleytwp.com,lower-tier,township,Renfrew,45.533333,-77.1,588.36,3622,3591,3665,3763,3674,3898,6.16,6.1,6.23,6.4,6.24,6.63,-0.0086,0.0206,0.0267,-0.0237,0.061
Bracebridge,https://www.bracebridge.ca,lower-tier,town,Muskoka,45.033333,-79.3,615.2,13223,13751,15652,15414,16010,17305,21.49,22.35,25.44,25.06,26.02,28.13,0.0399,0.1382,-0.0152,0.0387,0.0809
Bradford West Gwillimbury,https://www.townofbwg.com,lower-tier,town,Simcoe,44.133333,-79.633333,200.68,20213,22228,24039,28077,35325,42880,100.72,110.76,119.79,139.91,176.03,213.67,0.0997,0.0815,0.168,0.2581,0.2139
Brampton,https://www.brampton.ca,lower-tier,city,Peel,43.688333,-79.760833,265.89,268251,325428,433806,523906,593638,656480,1008.88,1223.92,1631.52,1970.39,2232.65,2468.99,0.2131,0.333,0.2077,0.1331,0.1059
Brant,https://www.brant.ca,single-tier,city,Brant,43.116667,-80.366667,817.66,29800,31669,34415,35638,35640,39474,36.45,38.73,42.09,43.59,43.59,48.28,0.0627,0.0867,0.0355,1e-4,0.1076
Brantford,https://www.brantford.ca,single-tier,city,Brant,43.140833,-80.263056,98.65,84764,86417,90192,93650,98563,104688,859.24,876,914.26,949.32,999.12,1061.21,0.0195,0.0437,0.0383,0.0525,0.0621
Brethour,,single-tier,township,Timiskaming,47.666667,-79.566667,81.97,181,157,117,129,124,105,2.21,1.92,1.43,1.57,1.51,1.28,-0.1326,-0.2548,0.1026,-0.0388,-0.1532
Brighton,https://www.brighton.ca,lower-tier,municipality,Northumberland,44.030833,-77.723056,223.24,9022,9449,10253,10928,11844,12108,40.41,42.33,45.93,48.95,53.06,54.24,0.0473,0.0851,0.0658,0.0838,0.0223
Brock,https://www.townshipofbrock.ca,lower-tier,township,Durham,44.316667,-79.083333,422.64,11705,12110,11979,11341,11642,12567,27.69,28.65,28.34,26.83,27.55,29.73,0.0346,-0.0108,-0.0533,0.0265,0.0795
Brockton,https://www.brockton.ca,lower-tier,municipality,Bruce,44.166667,-81.216667,564.64,10163,9658,9641,9432,9461,9784,18,17.1,17.07,16.7,16.76,17.33,-0.0497,-0.0018,-0.0217,0.0031,0.0341
Brockville,https://brockville.com,single-tier,city,Leeds and Grenville,44.583333,-75.683333,20.91,21752,21375,21957,21870,21569,22116,1040.27,1022.24,1050.07,1045.91,1031.52,1057.68,-0.0173,0.0272,-0.004,-0.0138,0.0254
